Filename	slug	title	description	subtitle	client	firm	date	category	category_alt	discipline	author	status	project_type	type	content	image_source_dir_name	image_path	hero_image	left_images	right_images
about	about	About Greg	I'm a seasoned creative and technical professional working out of San Francisco, CA. I have held many different roles throughout my career, but all with a common theme: creating visual experiences, tools and interfaces for clients.	ARTIST/DESIGNER/ENGINEER	Gregory Cowley	Self	20200926	info	n/a	n/a	Gregory Cowley	draft	n/a	n/a	Gregory Cowley is a lifestyle and editorial portrait photographer based in San Francisco. He began his career in 1992 working in the Bay Area design, branding and advertising industry after graduating with a BFA in graphic design. In these early days Gregory explored photography as a fine art and shot liberally in the hours after his day job was complete. Photography was always his primary love, but he kept this creative outlet open to the arts and not to commerce.  In 1994 Gregory relocated to Hong Kong where he continued to work in the design industry. It was there that he began a series of journeys into the remote regions of China and South East Asia. He created a series of photo essays about the people and cultures in these regions. This was the beginning of Gregory's passion for portraiture. He remains an avid traveller and his photography adventures have taken him to five continents.  After returning to San Francisco, Gregory focused his photography work on the fine arts and gallery circuit. He was inspired by the work of Bill Viola and Gary Hill. In 1997 he launched an ambitious project to explore the performance possibilities of photography. The aptly named TEST project was started in 1997 and used up to 32 slide projectors over 8 screens to create immersive visual environments. Gregory’s work appeared as installations at The Here Art Center in New York, Portland State University, The Exploratorium, and SFMOMA.  In 2005 Gregory embraced photography as his full time passion. Since then he’s been producing high-end photography for top commercial photography clients. Gregory has honed his skills as a studio photographer and master of lighting. He has worked with celebrities and keeps his attention on the need for good story telling and connection with his subjects. He works diligently to unite the values of photojournalism, fine art photography, and graphic design. Gregory remains a craftsman and believes strongly in skill and attention to detail.  In addition to his work as a photographer Gregory has also spearheaded interactivity and technology projects in the arts world through the creation of the Transcinema Festival and the Rx Gallery. Currently he is an adjunct professor at the California College of the Arts. He has taught courses at the Academy of Art University and regularly teaches workshops out of his studio in the Dogpatch neighborhood of San Francisco.  Client List: The Sak, Adobe Systems, Intel Corporation, Overland Equipment, Stantec, Merck Pharmaceuticals, Landor Associates, IDEO, Apple Computer, Nike, Levis, Chrome Bags  Published In: Wired Magazine, Thompson-Reuters, Super Lawyer, Chief Learning Officer Magazine, San Francisco Magazine, The Scientist, Architect Magazine,  Specialties: Photography, graphic design, art direction, project management, teaching, branding and identity, portraiture, lighting, studio, location, travel, journalism, photojournalism    --- About Gregory Cowley  I'm a seasoned creative and technical professional working out of San Francisco, CA.  I have held many different roles throughout my career, but all with a common theme: creating visual experiences, tools and interfaces for clients.  Gregory Cowley, b. 1970  ARTIST/DESIGNER/ENGINEER   With over 25 years of professional interactive design and development experience, I offer a strong understanding of and intuitive sense for user interface design. I combine problem-solving with creativity and communication, and I have a keen sense of attention to detail. I have studied the business from many different angles and learned about the many different sides of an industry that connects customers with products.  In the past, I have worked with Adobe, Apple, Intel, IDEO, Pepsi and Dr. Pepper. I have photographed executives at Facebook, Visa, Schwab, and Yahoo. Additionally, my work has been featured everywhere from Wired Magazine to The Scientist, Discover Magazine, and USAToday.  Put simply, I'm an enterprise-level software engineer with a broad range of practical skills that cover all aspects of design and development and with an extensive knowledge of leading computer-based technologies. But I'm also... A photographer who specializes in editorial, corporate and commercial clients. A graphic designer who has worked on projects for worldwide brands. An adjunct professor who teaches design and development at the graduate level. An electronic media artist whose work has been shown internationally.  My superpower is that I combine a broad range of knowledge with an intense work ethic. I started out as a print designer and moved through various interactive technologies to become the developer that I am today. With a healthy dose of craft and a whole lot of experience, I can safely say that I will get any job done right.&nbsp;  Let's build incredible things together. Let's tell stories and create experiences. Let's see what what we're capable of. Call me, email me, message me. I'm eager to talk with you.&nbsp;	general	/general	null	null	null
artist	artist	Electronic Artist	I've created installations and performance pieces for SF MoMA. The Exploratorium San Jose Museum of Modern Art and the here Art Center in New York and Portland State University. My work has appeared internationally and in Paris, Ireland, and various places across Asia.	Working in digital, projection, and kinetic new media	Gregory Cowley	Self	20200101	artist	n/a	artist	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
designer	designer	Visual and Interaction Designer	As a visual and interaction designer, I've designed for clients top clients such as IDEO Intel, Apple.  Macromedia understand visual design intuitively, and I work with interaction design at the digital level, as a software engineer,	Traditional graphic design with a focus on interaction and experience design.	Gregory Cowley	Self	20200101	designer	n/a	designer	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
educator	educator	Educator and Adjunct Professor	As an educator, I've taught at the Academy of Art, the California College of the Arts, and the Art institutes in San Francisco. I've also taught in Paris and online through various programs.  I'm currently teaching online.	Adjunct Professor of Interaction Design	Gregory Cowley	Self	20200101	educator	n/a	educator	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
engineer	engineer	Software Engineer	As a software engineer, I am a self-taught expert in object-oriented and functional programming using JavaScript.  I also have extensive experience in Python, PHP, and C based languages. 	Software and Front-end	Gregory Cowley	Self	20200101	engineer	n/a	engineer	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
entrepreneur	entrepreneur	Entrepreneur	As an entrepreneur, I've created six companies. The first was a motion graphics and design house.  The second was an art and technology venue, and winebar the third was a photography studio, a professional photography studio that worked with commercial clients and private commissions.  I've created a company that was a stock photography website that allowed for additional photographers to contribute and profit from their works.  I created a series of mobile apps for live in-person social interactions.  I'm currently working on new business endeavors that involve the design and manufacturing of physical products for the home.	Serial Startups	Gregory Cowley	Self	20200101	entrepreneur	n/a	entrepreneur	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
photographer	photographer	Editorial and Portrait Photorapher	I've worked with many of the nation's top magazines. I've also worked internationally for other for magazines. And News. I'm publishing companies.  My work has appeared excessively in Thomson Reuters publications, Wired Magazine, various trade magazines.	Editorial and Portrait	Gregory Cowley	Self	20200926	photographer	n/a	photographer	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
index	index	Gregory Cowley	undefined	Portfolio	Gregory Cowley	Self	20200926	info	n/a	n/a	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
project-2	project-2	Project #2	undefined	Example Project	Gregory Cowley	Self	20200926	info	n/a	n/a	Gregory Cowley	draft	n/a	n/a		general	/general	null	null	null
3mps	3mps	Three-Minute Picture Show	As a director and co-producer of the three-minute pictures show, I've coordinated the organization and the technology behind presenting.  Submitting and presenting short films from various filmmakers worldwide have created the websites and the marketing materials along with all the branding and collateral.	DIY Film Festival	Three-Minute Picture Show	Three-Minute Picture Show	20190000	designer	n/a	designer	Gregory Cowley	draft	commercial	Experience Design	An Un-Curated Film Festival Let's remind people that creativity is fun and easy . An uncurated film festival with a mission of encouraging participants to dedicate 30 days to the creative process of making a 3 minute film. &nbsp;It lowered the barrier of entry to creative work and culminated with a faux red-carpet screening where participants and guests could see the films on the big-screen in front of a live audience.Presented at the ATA, Root Division and the Victoria Theater in San Francisco, and the Clinton Street Theater in Portland, OR.     Award presenation at the end of the film screenings     Guests at the Victoria Theater in San Francisco	3MPS	/projects/3MPS	projects/3MPS/3MPS-top-64_zuaifg	[object Object]	[object Object]
4by6	4by6	4by6	While working for four by six, I re-engineered the production system behind an online printing portal.  This system allowed users to upload their graphics files to be pre-flighted and validated for printing.  Notice notified the errors prepared files that were ready for printing and sorted them into a grid system to get run on a city single print run.  The system was fully automated. The system used web technologies as well as back end scripting technologies for machines and custom software.	Automated Online Printing Service	4by6	4by6	20190000	engineer	n/a	engineer	Gregory Cowley	draft	commercial	Application Development		4by6	/projects/4by6	projects/4by6/4by6-top-140_sfqgck	null	null
adobe	adobe	Adobe Elements	I acted as producer and lead photographer for the packaging, for images for the packaging for Adobe Photoshop Elements and Adobe Premiere Elements.  I was responsible for casting prop procurement, supplying the studio hiring the team.  Organizing casting sessions working closely with the client to choose things and on the shoot day, coordinating dozens of people working within my studio, and keeping things running in a smooth, organized, organized fashion to get the job done. on schedule	Photoshop and Premier Elements Packaging	Adobe Elements	Adobe Elements	20190000	photographer	n/a	photographer	Gregory Cowley	draft	commercial	Component		Adobe	/projects/Adobe	projects/Adobe/Adobe-top-125_ytysrq	[object Object]	[object Object]
blurbbookify	blurbbookify	Blurb Bookify	As an engineer for Blurb, I was solely responsible for Bookify, a legacy product application built using flex technology, which had not been updated in years.  And eight years. It relied heavily on Adobe Flash, which was being phased out the time. My job was to improve the product, add new features, maintain the API connections with Facebook, Instagram, flicker, and other photo-sharing websites. Allowing users to upload photos themselves directly to the application in their web browser.  Tracking errors, measuring performance, dealing with customer support issues, and finding more efficient ways to improve the user experience.	Online Book Design Web Application	Blurb	Blurb	20190000	engineer	n/a	engineer	Gregory Cowley	draft	commercial	Application Development	This is one example of the type of work I've been doing since 2010. My title has been Senior Software Engineer and I've been working on applications built for the web and mobile devices.  Blurb Bookify was an enterprise level online book editor that allowed customers to choose templates, upload photos, arrange and design pages, add text, preview, and ultimately publish a color coffee table book.  Bookify was my primary focus while working for Blurb. I was the lead engineer and soley responsible for the engineering of the project. However, at times I was allowed to bring on other team members that I oversaw.  We used the Agile Methodology. New features and bug fixes were added in two-week sprints. I worked with the QA, a project manager, and a product owner during daily scrum meetings to plan sprints and target quarterly objectives.   Bookify was built in ActionScript 3.0, the much-maligned code behind Flash. In reality it was was Java that sort of resembled JavaScript. The backend was driven by Ruby. The workflow included Git, Jenkins, Groovy, Selenium, Jira, and Ant for building.  I later led the effort to rebuild the application using JavaScript and React, once it was clear that Flash was about to expire. 	BlurbBookify	/projects/BlurbBookify	projects/BlurbBookify/BlurbBookify-top-148_aicunm	[object Object]	[object Object]
branding	branding	ID Development and Branding	As a branding designer, I've worked from sketch through implementation for several brand identities for high-level clients. I understand the branding process, and I know maintaining a brand identity, style guides adherence, adherence to brand standards, and enforcing brand standards for the	Logo Development for Various Clients	Various	Various	20190000	designer	n/a	designer	Gregory Cowley	draft	commercial	Component		Branding	/projects/Branding	projects/Branding/Branding-top-159_j9lddy	[object Object]	[object Object]
briggo	briggo	Briggo Automated Coffee Cart	For the Briggo automated coffee cart, I worked from design-screens to create interactive animations that would display the coffee ordering process's functionality. This kiosk used interactive touchscreens for both input and free for feedback client feedback regarding whether or not their coffee was ready.	User Interface Development 	Briggo	Fuseproject	20190000	engineer	n/a	engineer	Gregory Cowley	draft	commercial	Prototype		Briggo	/projects/Briggo	projects/Briggo/Briggo-top-226_bywddn	[object Object]	[object Object]
cavallopoint	cavallopoint	Cavallo Point Resort	I worked with the designer and PDF or PSD files to develop and deploy the resort website, which allowed for marketing collateral and booking at the resort.	Website for marketing and booking	Cavallo Point Resort	Passport Resorts	20190000	engineer	n/a	engineer	Gregory Cowley	draft	commercial	Component		CavalloPoint	/projects/CavalloPoint	projects/CavalloPoint/CavalloPoint-top-129_rh7tvy	[object Object]	[object Object]
cca	cca	California College of the Arts	I have been teaching at the California College of the Arts since 2002, where I began as a professor teaching in the graphic design department. I am currently teaching in the interaction design department as an adjunct professor. I teach sophomore and junior-level  Core fundamental courses.  I have taught summer programs in Oakland and Paris. I've also taught and mentored graduate students in self-study programs.	Professor of Design since 2002	California College of the Arts	California College of the Arts	20190000	educator	n/a	educator	Gregory Cowley	draft	commercial	Component	Teaching Digitial Tools to Design Students For ten years I thought graphic, industrial, and interior design students the tools they would need to create interactive experiences. Taught digital studio tools to design students as an Adjunct Professor, with an emphasis on Flash and animated interactive experiences.Taught high school students in the pre-college program, introducing them to graphic design tools and concepts.Taught independent studies at graduate student level.     Erik Adigard with CCA students in Paris  ---   Since 2002 I've taught courses in multiple departments at the California College of the Arts in SF. My students have been graduate, undergraduate, extended learning, and high school students in the pre-college program. At this time I am an adjunct professor in the Interaction Design Department.  I am currently teaching interaction design using a very narrow topic, tangible user interfaces. Students are encouraged to use affordances, signifiers, constraints and feed to create experiences that go beyond the screen.  I teach students to conceptualize, iterate, prototype and present interaction ideas. We use techniques like "smoke and mirrors" to present concepts in action before extensive development to get buy-in from the client.  I'm preaching what I practice.  Reactable is the tool of choice this semester. It is an open source C++ codebase with a Processing interface. The software uses a camera to see barcode-like fiducials and respond to their position and rotation. I am guiding students through breaking down the problems, brainstorming solutions, and developing concepts that can be translated to Reactable platform. We use interaction design principles and UX techniques throughout the course. The students will be making their own tables, installing cameras and video projectors, and writing the code needed for the user interface using Processing.  For some reason I always seem to have classes where I'm teaching designers—who hate to code—how to code. It's a daunting but rewarding task.	CCA	/projects/CCA	projects/CCA/CCA-top-161_scxam8	[object Object]	[object Object]
