Filename,slug,title,description,subtitle,client,firm,date,category,category_alt,discipline,author,status,project_type,type,content,image_source_dir_name,image_path,hero_image,left_images,right_images
about,about,About Greg,"I'm a seasoned creative and technical professional working out of San Francisco, CA. I have held many different roles throughout my career, but all with a common theme: creating visual experiences, tools, and interfaces for clients.",ARTIST/DESIGNER/ENGINEER,Gregory Cowley,Self,20200926,info,n/a,n/a,Gregory Cowley,draft,n/a,n/a,"Gregory Cowley is a lifestyle and editorial portrait photographer based in San Francisco. He began his career in 1992 working in the Bay Area design, branding and advertising industry after graduating with a BFA in graphic design. In these early days Gregory explored photography as a fine art and shot liberally in the hours after his day job was complete. Photography was always his primary love, but he kept this creative outlet open to the arts and not to commerce.

In 1994 Gregory relocated to Hong Kong where he continued to work in the design industry. It was there that he began a series of journeys into the remote regions of China and South East Asia. He created a series of photo essays about the people and cultures in these regions. This was the beginning of Gregory's passion for portraiture. He remains an avid traveller and his photography adventures have taken him to five continents.

After returning to San Francisco, Gregory focused his photography work on the fine arts and gallery circuit. He was inspired by the work of Bill Viola and Gary Hill. In 1997 he launched an ambitious project to explore the performance possibilities of photography. The aptly named TEST project was started in 1997 and used up to 32 slide projectors over 8 screens to create immersive visual environments. Gregory’s work appeared as installations at The Here Art Center in New York, Portland State University, The Exploratorium, and SFMOMA.

In 2005 Gregory embraced photography as his full time passion. Since then he’s been producing high-end photography for top commercial photography clients. Gregory has honed his skills as a studio photographer and master of lighting. He has worked with celebrities and keeps his attention on the need for good story telling and connection with his subjects. He works diligently to unite the values of photojournalism, fine art photography, and graphic design. Gregory remains a craftsman and believes strongly in skill and attention to detail.

In addition to his work as a photographer Gregory has also spearheaded interactivity and technology projects in the arts world through the creation of the Transcinema Festival and the Rx Gallery. Currently he is an adjunct professor at the California College of the Arts. He has taught courses at the Academy of Art University and regularly teaches workshops out of his studio in the Dogpatch neighborhood of San Francisco.

Client List:
The Sak, Adobe Systems, Intel Corporation, Overland Equipment, Stantec, Merck Pharmaceuticals, Landor Associates, IDEO, Apple Computer, Nike, Levis, Chrome Bags

Published In:
Wired Magazine, Thompson-Reuters, Super Lawyer, Chief Learning Officer Magazine, San Francisco Magazine, The Scientist, Architect Magazine,

Specialties:
Photography, graphic design, art direction, project management, teaching, branding and identity, portraiture, lighting, studio, location, travel, journalism, photojournalism



____
About Gregory Cowley

I'm a seasoned creative and technical professional working out of San Francisco, CA.  I have held many different roles throughout my career, but all with a common theme: creating visual experiences, tools and interfaces for clients.

Gregory Cowley, b. 1970

ARTIST/DESIGNER/ENGINEER
  With over 25 years of professional interactive design and development experience, I offer a strong understanding of and intuitive sense for user interface design. I combine problem-solving with creativity and communication, and I have a keen sense of attention to detail. I have studied the business from many different angles and learned about the many different sides of an industry that connects customers with products.  In the past, I have worked with Adobe, Apple, Intel, IDEO, Pepsi and Dr. Pepper. I have photographed executives at Facebook, Visa, Schwab, and Yahoo. Additionally, my work has been featured everywhere from Wired Magazine to The Scientist, Discover Magazine, and USAToday.  Put simply, I'm an enterprise-level software engineer with a broad range of practical skills that cover all aspects of design and development and with an extensive knowledge of leading computer-based technologies. But I'm also... A photographer who specializes in editorial, corporate and commercial clients. A graphic designer who has worked on projects for worldwide brands. An adjunct professor who teaches design and development at the graduate level. An electronic media artist whose work has been shown internationally.  My superpower is that I combine a broad range of knowledge with an intense work ethic. I started out as a print designer and moved through various interactive technologies to become the developer that I am today. With a healthy dose of craft and a whole lot of experience, I can safely say that I will get any job done right.&nbsp;  Let's build incredible things together. Let's tell stories and create experiences. Let's see what what we're capable of. Call me, email me, message me. I'm eager to talk with you.&nbsp;",general,/general,null,null,null
artist,artist,Electronic Artist,"I've created installations and performance pieces for SFMOMA, The Exploratorium, San Jose Museum of Modern Art, the Art Center in New York and Portland State University. My work has appeared internationally in Paris, Ireland, and various places across Asia.","Working in digital, projection, and kinetic new media.",Gregory Cowley,Self,20200101,artist,n/a,artist,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
designer,designer,Visual and Interaction Designer,"As a visual and interaction designer, I've designed for clients including IDEO, Intel, Apple and Macromedia. I understand visual design intuitively, and I work with interaction design at the digital level as a software engineer.
","Traditional graphic design with a focus on interaction and experience design.
",Gregory Cowley,Self,20200101,designer,n/a,designer,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
educator,educator,Educator and Adjunct Professor,"As an educator, I have taught at the California College of the Arts (CCA), Academy of Art, and workshops and online courses.

I am currently teaching Interaction Design at CCA.
",Adjunct Professor of Interaction Design,Gregory Cowley,Self,20200101,educator,n/a,educator,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
engineer,engineer,Software Engineer,"As a software engineer, I am a self-taught expert in object-oriented and functional programming using JavaScript. I also have extensive experience in Python, PHP, and C based languages.",Software and Front-end Engineer.,Gregory Cowley,Self,20200101,engineer,n/a,engineer,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
entrepreneur,entrepreneur,Entrepreneur,"As an entrepreneur, I've created six companies. The first was a motion graphics and design house. The second was an art and technology venue and wine bar. The third was a professional photography studio that worked with commercial clients and private commissions.

I've created a stock photography website that allowed for additional photographers to contribute and profit from their works.

I created a series of mobile apps for live in-person social interactions.

I'm currently working on new business endeavors that involve the design and manufacturing of physical products for the home.
",Serial Startups,Gregory Cowley,Self,20200101,entrepreneur,n/a,entrepreneur,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
photographer,photographer,Editorial and Portrait Photorapher,"My editorial work has appeared in Thomson Reuters publications, Wired Magazine, and various trade magazines.","International commercial photographer who's worked in over 35 countries.
",Gregory Cowley,Self,20200926,photographer,n/a,photographer,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
index,index,Gregory Cowley,undefined,Portfolio,Gregory Cowley,Self,20200926,info,n/a,n/a,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
project-2,project-2,Project #2,undefined,Example Project,Gregory Cowley,Self,20200926,info,n/a,n/a,Gregory Cowley,draft,n/a,n/a,,general,/general,null,null,null
3mps,3mps,Three-Minute Picture Show,"As a designer and technical producer of the Three-Minute Picture Show, an annual festival of short films, I executed the branding, website, marketing materials, and collateral. I also managed technical coordination of the film screenings, including the conversion of the various formats that were submitted into a consistent playable format for the theater. All the events took place in art house theaters in San Francisco and Portland.",A DIY Film Festival.,Three-Minute Picture Show,Three-Minute Picture Show,20190000,designer,n/a,designer,Gregory Cowley,draft,commercial,Experience Design,"An Un-Curated Film Festival
Let's remind people that creativity is fun and easy .
An uncurated film festival with a mission of encouraging participants to dedicate 30 days to the creative process of making a 3 minute film. &nbsp;It lowered the barrier of entry to creative work and culminated with a faux red-carpet screening where participants and guests could see the films on the big-screen in front of a live audience.Presented at the ATA, Root Division and the Victoria Theater in San Francisco, and the Clinton Street Theater in Portland, OR.
    Award presenation at the end of the film screenings
    Guests at the Victoria Theater in San Francisco",3MPS,/projects/3MPS,projects/3MPS/3MPS-top-64_zuaifg,[object Object],[object Object]
