	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	public_id_path	right_images	title	type
---	sample++3mps	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++A DIY Film Festival.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++As a designer and technical producer of the Three-Minute Picture Show, an++annual festival of short films, I executed the branding, website, marketing++materials, and collateral. I also managed technical coordination of the film++screenings, including the conversion of the various formats that were++submitted into a consistent playable format for the theater. All the events++took place in art house theaters in San Francisco and Portland.		O'Reilly Media++Three-Minute Picture Show	O'Reilly Media++Three-Minute Picture Show	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/3MPS/3MPS-top-64		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/3MPS/3MPS-right-65++projects/3MPS/3MPS-right-67++projects/3MPS/3MPS-right-66++projects/3MPS/3MPS-right-68++projects/3MPS/3MPS-right-69++projects/3MPS/3MPS-right-70		####	designer	Unused	/projects/3MPS	3MPS	[]	v1600180222/projects/3MPS/		Three-Minute Picture Show	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++4by6	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++A Fully Automated Online Printing Service.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>++While working for 4by6.com, I architected an automated production system++driven by a printing portal website. This system allowed users to upload their++graphics files to be pre-flighted and validated for printing. Problem files++were sorted out, and the clients were notified.++++++Files that were ready for printing were organized into a grid system. The++resulting grid could be printed on a single sheet of paper, lowering costs and++make the more efficient use of resources. The system was fully automated,++using web technologies as well as dedicated machines on-site and custom++software.		O'Reilly Media++4by6	O'Reilly Media++4by6	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/4by6/4by6-top-140		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/4by6/4by6-left-01++projects/4by6/4by6-right-03++projects/4by6/4by6-right-02++projects/4by6/4by6-right-04		####	engineer	Unused	/projects/4by6	4by6		Project Type		4by6.com Printing On-Demand	Component++---\n++
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++adobe	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Photoshop and Premiere Elements Packaging.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>++Acting as producer and lead photographer, I created images for the packaging++of Adobe Photoshop Elements and Adobe Premiere Elements.++++++I worked closely with the client to coordinate the initial casting sessions,++prop procurement, and managed cast and crew to get the job done on schedule++and within budget.		O'Reilly Media++Adobe Elements	O'Reilly Media++Adobe Elements	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/Adobe/Adobe-top-125		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/Adobe/Adobe-left-128++projects/Adobe/Adobe-right-126++projects/Adobe/Adobe-right-127++projects/Adobe/Adobe-right-129++projects/Adobe/Adobe-right-128		####	photographer	Unused	/projects/Adobe	Adobe		Project Type		Adobe Elements	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++blurbbookify	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Online Book Design Web Application.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++As an engineer for Blurb, I was solely responsible for Bookify, a legacy++product application built using Adobe Flex technology. The original++application had not been updated in years. Finding more efficient ways to++improve the user experience was part of the job. I pruned unused code and++improved performance by 300%. My job also included adding new features and++maintaining the API connections with Facebook, Instagram, Flickr, and other++photo-sharing websites. Users could also upload photos directly to the++application in their web browser. I built a system for tracking errors,++measuring performance, and managing customer support issues.		O'Reilly Media++Blurb	O'Reilly Media++Blurb	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/BlurbBookify/BlurbBookify-top-148		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/BlurbBookify/BlurbBookify-left-150++projects/BlurbBookify/BlurbBookify-right-147++projects/BlurbBookify/BlurbBookify-right-149++projects/BlurbBookify/BlurbBookify-right-145++projects/BlurbBookify/BlurbBookify-right-144++projects/BlurbBookify/BlurbBookify-right-146++projects/BlurbBookify/BlurbBookify-right-129		####	engineer	Unused	/projects/BlurbBookify	BlurbBookify		Project Type		Blurb Bookify	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++branding	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Logo Development for Various Clients.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++As a branding designer, I've worked with clients from sketch through++implementation for product and business identities. I understand the branding++process intrinsically, including maintaining a consistent brand identity,++creating and following style guides, as well as enforcing adherence to brand++standards.		O'Reilly Media++Various	O'Reilly Media++Various	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/Branding/Branding-top-159		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/Branding/Branding-right-160++projects/Branding/Branding-right-158++projects/Branding/Branding-right-151++projects/Branding/Branding-right-157++projects/Branding/Branding-right-154++projects/Branding/Branding-right-153++projects/Branding/Branding-right-152++projects/Branding/Branding-right-155++projects/Branding/Branding-right-156		####	designer	Unused	/projects/Branding	Branding	[]	Project Type		ID Development and Branding	Component
