filename	slug	meta:status	meta:author	meta:component	meta:discipline	meta:serviceId	meta:category	meta:isOnHome	theme:isDark	theme:background	video	pageHeader:backToLabel	pageHeader:titleCategory	pageHeader:titleMain	pageHeader:subtitle	pageHeader:description	projectInfo:client	projectInfo:firm	projectInfo:date	projectInfo:results	images:hero_image	images:carousel:isBig	images:carousel:pics:src	images:galleryPics:src
cncmachine	cncmachine	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Homemade CNC Machine	I constructed a fully operational 4 by 8 foot CNC machine based on the Open Source Maslow CNC system.	I've had a longtime interest in the fabrication of furniture and large scale products, but lacked the resources to produce such products. Instead, I often would build things by hand, limited by the tools I had. Many of the best designs I created were out of the range of my abilities  I wanted to work with computer-controlled rapid prototyping, and finally, I had the opportunity to build a CNC machine on my own using open source content from Maslow CNC. I created the initial CNC machine to work with four by eight sheets of plywood. Over time I've made continuous improvements to improve accuracy and speed. I've learned computer-controlled fabrication technology from the inside out.	Homemade CNC Machine	Self	20200926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
disneyvmk	disneyvmk	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Disney Vitrual Magic Kingdom	Flash-based games and activities to assist children in planning their trip to Disneyland.	The Disney Virtual Magic Kingdom was an online portal for kids who were planning a trip to Disneyland. The colorful VMK interactive experience was built entirely in Flash. It consisted of a series of games and activities that would generate excitement about specific rides at the park. It incorporated video editing mashups, maps, and a daily event planner.	Disney Vitrual Magic Kingdom	Punchcut	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
3mps	3mps	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Three-Minute Picture Show	A DIY Film Festival.	As a designer and technical producer of the Three-Minute Picture Show, an annual festival of short films, I executed the branding, website, marketing materials, and collateral. I also managed technical coordination of the film screenings, including the conversion of the various formats that were submitted into a consistent playable format for the theater. All the events took place in art house theaters in San Francisco and Portland.	Three-Minute Picture Show	Three-Minute Picture Show	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
4by6	4by6	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	4by6.com Printing On-Demand	A Fully Automated Online Printing Service.	While working for 4by6.com, I architected an automated production system driven by a printing portal website. This system allowed users to upload their graphics files to be pre-flighted and validated for printing. Problem files were sorted out, and the clients were notified.  Files that were ready for printing were organized into a grid system. The resulting grid could be printed on a single sheet of paper, lowering costs and make the more efficient use of resources. The system was fully automated, using web technologies as well as dedicated machines on-site and custom software.	4by6	4by6	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
adobe	adobe	active	Gregory Cowley	Project	photographer	prototyping	photographer	TRUE	TRUE	#252F3A	427638306	Project Back Link	photographer	Adobe Elements	Photoshop and Premiere Elements Packaging.	Acting as producer and lead photographer, I created images for the packaging of Adobe Photoshop Elements and Adobe Premiere Elements.  I worked closely with the client to coordinate the initial casting sessions, prop procurement, and managed cast and crew to get the job done on schedule and within budget.	Adobe Elements	Adobe Elements	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
blurbbookify	blurbbookify	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Blurb Bookify	Online Book Design Web Application.	As an engineer for Blurb, I was solely responsible for Bookify, a legacy product application built using Adobe Flex technology. The original application had not been updated in years. Finding more efficient ways to improve the user experience was part of the job. I pruned unused code and improved performance by 300%. My job also included adding new features and maintaining the API connections with Facebook, Instagram, Flickr, and other photo-sharing websites. Users could also upload photos directly to the application in their web browser. I built a system for tracking errors, measuring performance, and managing customer support issues.	Blurb	Blurb	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
branding	branding	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	ID Development and Branding	Logo Development for Various Clients.	As a branding designer, I've worked with clients from sketch through implementation for product and business identities. I understand the branding process intrinsically, including maintaining a consistent brand identity, creating and following style guides, as well as enforcing adherence to brand standards.	Various	Various	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
briggo	briggo	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Briggo Automated Coffee Cart	Multi-screen kiosk User Interface Development.	For the Briggo automated coffee cart, I worked from layouts supplied by a designer to create interactive animations that would guide customers through the ordering process. This kiosk used interactive touchscreens for both input and feedback to the client regarding the status of their order. Coffee was prepared by a robot, and customers were notified when their order was ready through feedback from an order queue screen.	Briggo	Fuseproject	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
cavallopoint	cavallopoint	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Cavallo Point Resort	Website for marketing a unique resort experience in San Francisco.	I worked with the designer who supplied PSD files for development. My job was to prepare the assets, code the HTML/CSS, and deploy the resort website. The site worked as a delivery tool for marketing collateral and a booking tool for the resort.	Cavallo Point Resort	Passport Resorts	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
cca	cca	active	Gregory Cowley	Project	educator	prototyping	educator	TRUE	TRUE	#252F3A	427638306	Project Back Link	educator	California College of the Arts	Professor of Design since 2002.	I have been teaching at the California College of the Arts since 2002, where I began as a professor teaching in the graphic design department. I am currently teaching in the interaction design department as an adjunct professor. I teach sophomore and junior-level  Core fundamental courses.  I have taught summer programs in Oakland and Paris. I've also taught and mentored graduate students in self-study programs.	California College of the Arts	California College of the Arts	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
